"Fundraising
                        Tare Zameen Foundation                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000 /month +  IncentivesApply By"
"Internshala Student Partner
                        Internshala                    Work From Home","Work From Home                
                                Start Date                            Duration
                                Stipend                            Performance BasedApply By"
"Social Work
                        Hamari Pahchan NGO                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Fundraising
                        Jankalyan Multipurpose Education Society                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Business Development (Sales)
                        Kids Age                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By"
"Human Resources (HR)
                        CaratLane Trading Private Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             23000 /monthApply By"
"Product Delivery
                        Times Internet                    Greater Noida","Greater Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Product Delivery
                        Times Internet                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By"
"Human Resources (HR)
                        Times Internet                    GurgaonNoida","Gurgaon, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-10000 /monthApply By"
"Business Development (Sales)
                        UpGrad (UpGrad Education Private Limited)                    BhandaraChandrapurWardhaGondiaHinganghatGadchiroliNagpur","Bhandara, Chandrapur, Wardha, Gondia, Hinganghat, Gadchiroli, Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /month +  IncentivesApply By"
"Marketing
                        BYJU'S The Learning App                    Nagpur","Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             25000-35000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"C++ Development (QT Creator)
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000-2000 /monthApply By"
"Marketing
                        BYJU'S - The Learning App                    Nagpur","Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Web Development
                        Viacom India LLP                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             4000-6000 /monthApply By"
"Operations
                        Unacademy                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Imphal","Imphal                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By"
"Social Media Marketing
                        LimeRoad                    DelhiGurgaonNoida","Delhi, Gurgaon, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        BYJU'S - The Learning App                    Raipur","Raipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             16000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    ErodeTheniPudukkottaiThiruvarurAriyalurPerambalurTirchy","Erode, Theni, Pudukkottai, Thiruvarur, Ariyalur, Perambalur, Tirchy                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Human Resources (HR)
                        DCB Bank                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7000 /monthApply By"
"Policy Research
                        AAP Pune                    Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Marketing
                        BYJU'S The Learning App                    AngulBhubaneswarCuttackSambalpurJharsugudaBalasoreKalahandiNuapadaBaripada","Angul, Bhubaneswar, Cuttack, Sambalpur, Jharsuguda, Balasore, Kalahandi, Nuapada, Baripada                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Kolkata","Kolkata                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             22000 /monthApply By"
"Human Resources (HR)
                        Times Internet                    Noida","Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Business Development (Sales)
                        UpGrad (UpGrad Education Private Limited)                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000-25000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Marketing
                        BYJU'S - The Learning App                    BhubaneswarCuttack","Bhubaneswar, Cuttack                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Marketing
                        The Times Of India                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Human Resources (HR)
                        ByteDance                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Growth Intern
                        Monster India                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12000 /monthApply By"
"Growth
                        Monster India                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Marketing
                        Think & Learn Private Limited (BYJU'S)                    Ahmedabad","Ahmedabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Marketing
                        Think & Learn Private Limited (BYJU'S)                    Ahmedabad","Ahmedabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Business Development (Sales)
                        GradeStack Learning Private Limited                    Noida","Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             25000 /monthApply By"
"Law/Legal
                        PharmEasy                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Lucknow","Lucknow                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"Graphic Design
                        Seven Seas Hospitality                    Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000-10000 /monthApply ByThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Fundraising
                        Tare Zameen Foundation                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000 /month +  IncentivesApply By"
"Internshala Student Partner
                        Internshala                    Work From Home","Work From Home                
                                Start Date                            Duration
                                Stipend                            Performance BasedApply By"
"Social Work
                        Hamari Pahchan NGO                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Fundraising
                        Jankalyan Multipurpose Education Society                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidApply By"
"Business Development (Sales)
                        Kids Age                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5000 /monthApply By"
"Human Resources (HR)
                        CaratLane Trading Private Limited                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Marketing
                        BYJU'S The Learning App                    Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             23000 /monthApply By"
"Product Delivery
                        Times Internet                    Greater Noida","Greater Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Product Delivery
                        Times Internet                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By"
"Human Resources (HR)
                        Times Internet                    GurgaonNoida","Gurgaon, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             8000-10000 /monthApply By"
"Business Development (Sales)
                        UpGrad (UpGrad Education Private Limited)                    BhandaraChandrapurWardhaGondiaHinganghatGadchiroliNagpur","Bhandara, Chandrapur, Wardha, Gondia, Hinganghat, Gadchiroli, Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2000 /month +  IncentivesApply By"
"Marketing
                        BYJU'S The Learning App                    Nagpur","Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18000 /monthApply By"
"Business Development (Sales)
                        Decathlon Sport India Private Limited                    Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             25000-35000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20000 /monthApply By"
"C++ Development (QT Creator)
                        IIT Bombay                    Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1000-2000 /monthApply By"
"Marketing
                        BYJU'S - The Learning App                    Nagpur","Nagpur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15000 /monthApply By"
"Web Development
                        Viacom India LLP                    Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             4000-6000 /monthApply By"
"Operations
                        Unacademy                    Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000 /monthApply By"
"Business Development (Sales)
                        Urban Company                    Imphal","Imphal                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10000-15000 /monthApply By"
